,image,truth,fast_plate_ocr,fast_ok,fast_sim,easyocr,easy_ok,easy_sim,rapidocr,rapid_ok,rapid_sim,paddleocr,paddle_ok,paddle_sim
1,img1.jpg,MCY6055,MCY6055,1,1,MCY6055,1,1,MCY6055,1,1,MCY6055,1,1
2,img2.jpg,WHN9050,WHN9050,1,1,WHN9050,1,1,WHN9050,1,1,9050NHM,0,0.5714
3,img3.jpg,WRA73,WRA73,1,1,MRA73,0,0.8,WRA473,0,0.9091,WRA73,1,1
4,img4.jpg,NEG8531,NEG8531,1,1,NEG8531,1,1,NEG8531,1,1,G8531NEG,0,0.6667
5,img5.jpg,B87777NRS,B87777NRS,1,1,B87777NRS,1,1,B887777NRS,0,0.9474,B87777NRS,1,1
6,img6.jpg,FA555,FA555,1,1,FA535,0,0.8,FA555,1,1,MASS,0,0.2222
7,img7.jpg,VJF458,VJF458,1,1,WUF458,0,0.6667,WJF458,0,0.8333,RA7,0,0
8,img8.jpg,SJA2099D,SJA2099D,1,1,SJA20990,0,0.875,SJJA2099D,0,0.9412,20990SJA,0,0.5
9,img9.jpg,SNW9359U,AMM9358U,0,0.5,EN93590,0,0.6667,,0,0,,0,0
10,img10.jpg,SJS4878P,SJS4878P,1,1,SJS4878P,1,1,SR48768JL,0,0.5882,SJS4878P,1,1
11,img11.jpg,SMR54X,SMR54X,1,1,SMREAX,0,0.6667,SMR5544X,0,0.8571,SMR54X,1,1
12,img12.jpg,WJJ2495,WJJ2495,1,1,WJJ2495,1,1,WJJ2495,1,1,2495TCM,0,0.5714
13,img13.jpg,PCM5078,PCM5078,1,1,75078PCM,0,0.5333,PCM5078,1,1,PCM5078,1,1
14,img14.jpg,BRA8686,BRA8686,1,1,BRA86O6,0,0.8571,BRA8686,1,1,8RA8686,0,0.8571
15,img15.jpg,WB3233T,NB22333,0,0.5714,WB32331,0,0.8571,,0,0,VB3233,0,0.7692
16,img16.jpg,ACD128,AC0128,0,0.8333,ACDPB,0,0.5455,,0,0,ACD128,1,1
17,img17.jpg,VKK4039,VKK4039,1,1,VKK4039TOTOTATROTON,0,0.5385,VKK4039UMWTOYOTANOTOR,0,0.5,VKK4039UMWTOYOTAMOTOR,0,0.5
18,img18.jpg,NBC9482,NBC9482,1,1,NBC9482,1,1,NBCC9482,0,0.9333,NBC9482,1,1
19,img19.jpg,NCK4259,NCK4269,0,0.8571,N5KA,0,0.3636,,0,0,NCK4259,1,1
20,img20.jpg,VX6486,VX6486,1,1,VX6486,1,1,6486VX,0,0.6667,9879XA,0,0.1667
