image,truth,fast_plate_ocr,fast_ok,fast_sim,easyocr,easy_ok,easy_sim,rapidocr,rapid_ok,rapid_sim,paddleocr,paddle_ok,paddle_sim
img1.jpg,MCY6055,MCY6055,1,1,MCY6055,1,1,MCY6055,1,1,MCY6055,1,1
img2.jpg,WHN9050,WHN9050,1,1,WHN9050,1,1,WHN9050,1,1,9050NHM,0,0.5714
img3.jpg,WRA73,WRA73,1,1,MRA73,0,0.8,WRA473,0,0.9091,WRA73,1,1
img4.jpg,NEG8531,NEG8531,1,1,NEG8531,1,1,NEG8531,1,1,G8531NEG,0,0.6667
img5.jpg,B87777NRS,B87777NRS,1,1,B87777NRS,1,1,B887777NRS,0,0.9474,B87777NRS,1,1
img6.jpg,FA555,FA555,1,1,FA535,0,0.8,FA555,1,1,MASS,0,0.2222
img7.jpg,VJF458,VJF458,1,1,WUF458,0,0.6667,WJF458,0,0.8333,RA7,0,0
img8.jpg,SJA2099D,SJA2099D,1,1,SJA20990,0,0.875,SJJA2099D,0,0.9412,20990SJA,0,0.5
img9.jpg,SNW9359U,AMM9358U,0,0.5,EN93590,0,0.6667,,0,0,,0,0
img10.jpg,SJS4878P,SJS4878P,1,1,SJS4878P,1,1,SR48768JL,0,0.5882,SJS4878P,1,1
img11.jpg,SMR54X,SMR54X,1,1,SMREAX,0,0.6667,SMR5544X,0,0.8571,SMR54X,1,1
img12.jpg,WJJ2495,WJJ2495,1,1,WJJ2495,1,1,WJJ2495,1,1,2495TCM,0,0.5714
img13.jpg,PCM5078,PCM5078,1,1,75078PCM,0,0.5333,PCM5078,1,1,PCM5078,1,1
img14.jpg,BRA8686,BRA8686,1,1,BRA86O6,0,0.8571,BRA8686,1,1,8RA8686,0,0.8571
img15.jpg,WB3233T,NB22333,0,0.5714,WB32331,0,0.8571,,0,0,VB3233,0,0.7692
img16.jpg,ACD128,AC0128,0,0.8333,ACDPB,0,0.5455,,0,0,ACD128,1,1
img17.jpg,VKK4039,VKK4039,1,1,VKK4039TOTOTATROTON,0,0.5385,VKK4039UMWTOYOTANOTOR,0,0.5,VKK4039UMWTOYOTAMOTOR,0,0.5
img18.jpg,CNB9482,NBC9482,0,0.8571,NBC9482,0,0.8571,NBCC9482,0,0.8,NBC9482,0,0.8571
img19.jpg,NCK4259,NCK4269,0,0.8571,N5KA,0,0.3636,,0,0,NCK4259,1,1
img20.jpg,VX6486,VX6486,1,1,VX6486,1,1,6486VX,0,0.6667,9879XA,0,0.1667
img21.jpg,SJD9469,SJD9469,1,1,5JD9469,0,0.8571,JD94469,0,0.8571,69860RS,0,0.2857
img22.jpg,VDQ1352,VDQ1352,1,1,VDQ1352,1,1,VDQ1352,1,1,ACOSA,0,0
img23.jpg,X8163,X8163,1,1,X8163,1,1,X8163,1,1,X8163,1,1
img24.jpg,TCW8982,TCW8982,1,1,TCW8982,1,1,TCW88982,0,0.9333,1C68TA,0,0.3077
img25.jpg,MBJ9679,MBJ9679,1,1,MBJ9679,1,1,MBJ9679,1,1,,0,0
img26.jpg,JRP892,JRP892,1,1,JRP892,1,1,JRP892,1,1,768P8R,0,0.3333
img27.jpg,VPE6451,VPE6451,1,1,VPE6451,1,1,VPE6451,1,1,AGESE,0,0.1667
img28.jpg,BNG6725,BNG6725,1,1,BNG6725,1,1,BNG6725,1,1,BNG6725,1,1
img29.jpg,APL9369,APL9369,1,1,APL9369,1,1,APL9369THEOPIAITOPCOMPIIEFOA,0,0.4,APL9369,1,1
img30.jpg,VPU583,VPU583,1,1,VPU583,1,1,VPU583,1,1,VPU583,1,1
img31.jpg,JVA9190,UVA9190,0,0.8571,JVA9190,1,1,JVA90616,0,0.6667,JVA9190,1,1
img32.jpg,NDQ6210,NDQ6210,1,1,NDQ6210,1,1,NDQ6210RNCOLRALLVRENEMRO,0,0.4516,NDQ6210,1,1
img33.jpg,PRS5358,PRS5358,1,1,PRS5358,1,1,PRS5358,1,1,PRS5358,1,1
img34.jpg,NEA3091,NEA3091,1,1,NEA3091,1,1,NEA3091,1,1,NEA309,0,0.9231
img35.jpg,JYG2088,JYG2088,1,1,JYG2088,1,1,JYG2088,1,1,JYG2088,1,1
img36.jpg,JGV74,JGV74,1,1,74JGV,0,0.6,,0,0,JGV74,1,1
img37.jpg,VDQ8078,VDQ8078,1,1,VDQ8078,1,1,VDQ8078,1,1,VDQ8078,1,1
img38.jpg,VEB5802,,0,0,,0,0,,0,0,,0,0
img39.jpg,JQG992,JQG992,1,1,JOG992,0,0.8333,JQGS992,0,0.9231,JQG992,1,1
img40.jpg,PLM4249,PLM4249,1,1,PLM4249,1,1,PLM4249,1,1,G1AAA72,0,0.1429
img41.jpg,VLU2315,VLU2315,1,1,VLU2315,1,1,VLU2315,1,1,VLU2315,1,1
